net,length_um
_0359_,5.26
_0392_,5.26
_0404_,5.26
net42,5.26
_0276_,5.22
_0105_,5.215
full,5.19
r_data[5],5.19
_0097_,5.18
_0076_,5.16
net99,5.16
net110,5.16
_0296_,5.14
_0044_,5.095
_0281_,5.06
_0096_,4.985
_0003_,4.975
_0152_,4.965
_0287_,4.92
_0320_,4.92
_0377_,4.92
_0379_,4.92
net34,4.92
_0091_,4.885
_0109_,4.885
_0274_,4.88
_0278_,4.88
_0326_,4.88
_0352_,4.88
r_ptr_g_sync1\[2\],4.88
r_data[1],4.85
_0005_,4.845
_0043_,4.82
_0419_,4.82
_0033_,4.7
net142,4.7
_0217_,4.66
_0058_,4.635
_0007_,4.625
w_ptr_g_sync1\[1\],4.58
_0426_,4.56
_0376_,4.46
_0390_,4.46
_0147_,4.425
_0223_,4.42
_0341_,4.42
_0004_,4.385
_0020_,4.385
_0396_,4.36
_0440_,4.34
net25,4.34
net159,4.34
_0074_,4.295
_0373_,4.28
_0080_,4.275
_0073_,4.24
_0149_,4.24
_0170_,4.24
net164,4.24
_0134_,4.22
_0144_,4.165
r_ptr_g_sync1\[3\],4.14
_0116_,4.12
_0135_,4.12
net123,4.12
_0053_,4.085
_0209_,4
r_ptr_g_sync1\[1\],4
_0009_,3.965
_0013_,3.925
_0017_,3.925
_0034_,3.925
_0356_,3.9
net166,3.88
_0052_,3.865
_0123_,3.865
_0023_,3.8
_0045_,3.8
_0016_,3.78
net45,3.78
net52,3.78
net153,3.78
_0126_,3.76
_0187_,3.68
_0136_,3.66
net32,3.66
_0092_,3.605
_0130_,3.54
_0131_,3.54
_0137_,3.54
_0272_,3.54
_0360_,3.54
_0397_,3.54
r_ptr_g_sync1\[4\],3.54
_0001_,3.465
_0060_,3.465
_0398_,3.44
_0425_,3.44
_0309_,3.42
net98,3.42
_0042_,3.405
_0055_,3.405
_0067_,3.405
_0083_,3.405
_0006_,3.345
_0021_,3.345
_0064_,3.34
_0084_,3.34
_0108_,3.34
net101,3.32
net128,3.32
net136,3.32
net149,3.32
_0039_,3.245
_0066_,3.245
_0101_,3.245
_0113_,3.2
_0132_,3.2
_0028_,3.145
_0056_,3.125
_0129_,3.08
_0389_,3.08
_0403_,3.08
_0434_,3.08
w_ptr_g_sync2\[3\],3.08
_0090_,3.005
_0122_,3.005
_0275_,2.98
_0357_,2.98
_0192_,2.96
_0445_,2.96
_0008_,2.945
_0011_,2.945
_0012_,2.945
_0035_,2.945
_0041_,2.945
_0050_,2.945
_0065_,2.945
_0103_,2.945
_0111_,2.945
_0048_,2.885
_0226_,2.86
net126,2.86
mem\[3\]\[4\],2.84
_0014_,2.785
_0029_,2.785
_0201_,2.76
_0215_,2.76
_0231_,2.76
net95,2.76
_0112_,2.74
_0250_,2.62
_0298_,2.62
_0303_,2.62
r_ptr_g_sync2\[0\],2.62
net30,2.62
_0015_,2.6
_0059_,2.545
_0143_,2.545
_0338_,2.52
_0409_,2.52
_0237_,2.5
_0245_,2.5
_0264_,2.5
_0289_,2.5
_0305_,2.5
_0051_,2.425
_0075_,2.325
_0078_,2.325
_0018_,2.26
_0068_,2.255
_0081_,2.255
_0127_,2.18
_0239_,2.16
_0317_,2.16
_0339_,2.16
_0350_,2.16
_0448_,2.16
_0086_,2.125
_0148_,2.085
_0349_,2.06
_0378_,2.06
_0394_,2.06
_0416_,2.06
_0437_,2.06
_0213_,2.04
_0420_,2.04
w_ptr_g_sync2\[1\],2.04
_0049_,1.865
_0062_,1.865
_0063_,1.865
_0099_,1.865
_0102_,1.865
_0106_,1.865
_0107_,1.865
_0219_,1.84
net31,1.84
w_ptr_b\[0\],1.72
_0114_,1.7
_0304_,1.7
_0337_,1.7
_0414_,1.7
_0190_,1.6
_0361_,1.6
_0428_,1.6
_0022_,1.575
_0168_,1.48
_0019_,1.405
_0054_,1.405
_0057_,1.405
_0077_,1.405
_0085_,1.405
_0140_,1.405
_0141_,1.405
_0145_,1.405
_0151_,1.405
r_ptr_g_sync1\[0\],1.38
w_ptr_g_sync2\[4\],1.38
_0193_,1.14
_0221_,1.14
_0229_,1.14
_0277_,1.14
_0286_,1.14
_0288_,1.14
_0300_,1.14
_0327_,1.14
_0330_,1.14
_0348_,1.14
_0351_,1.14
_0362_,1.14
_0369_,1.14
_0380_,1.14
_0381_,1.14
_0387_,1.14
_0436_,1.14
_0432_,1.06
_0242_,1.02
