net,length_um
r_ptr_g_sync2\[4\],8.04
_0025_,8.025
_0338_,8.02
_0289_,7.98
mem\[5\]\[0\],7.98
_0191_,7.94
_0347_,7.94
_0356_,7.94
_0376_,7.94
_0437_,7.94
net89,7.92
mem\[13\]\[6\],7.9
net62,7.86
net143,7.86
net147,7.84
_0060_,7.805
_0141_,7.805
_0102_,7.735
_0441_,7.68
mem\[12\]\[7\],7.66
_0352_,7.64
mem\[3\]\[6\],7.64
mem\[8\]\[4\],7.64
_0067_,7.605
_0143_,7.605
_0195_,7.6
_0276_,7.6
_0307_,7.6
_0350_,7.6
_0435_,7.6
_0029_,7.565
_0133_,7.56
_0316_,7.56
_0311_,7.54
_0224_,7.52
w_ptr_g_sync2\[3\],7.52
_0388_,7.5
_0207_,7.46
net56,7.42
net74,7.42
mem\[1\]\[7\],7.4
_0233_,7.38
net68,7.38
_0281_,7.22
_0304_,7.22
_0357_,7.18
mem\[8\]\[5\],7.18
_0150_,7.165
_0051_,7.145
_0239_,7.14
_0406_,7.12
_0277_,7.1
_0408_,7.1
_0403_,7.06
net36,7.06
_0016_,7.005
net128,7
_0042_,6.96
_0098_,6.96
net39,6.96
net72,6.92
_0110_,6.765
_0197_,6.76
_0229_,6.76
_0305_,6.76
net25,6.76
_0036_,6.745
_0011_,6.72
mem\[3\]\[0\],6.72
_0105_,6.705
_0032_,6.685
_0106_,6.685
_0149_,6.685
_0063_,6.645
_0154_,6.64
_0293_,6.64
_0303_,6.64
_0308_,6.64
_0369_,6.64
mem\[0\]\[4\],6.64
net44,6.64
_0371_,6.6
_0385_,6.6
w_ptr_g_sync2\[4\],6.6
_0215_,6.54
_0218_,6.54
mem\[4\]\[7\],6.52
net47,6.52
net75,6.5
net96,6.5
net154,6.5
r_data[6],6.43
w_ptr_b\[0\],6.38
_0146_,6.365
_0119_,6.345
_0012_,6.3
_0354_,6.3
_0368_,6.3
r_ptr_g_sync1\[2\],6.3
r_ptr_g_sync1\[3\],6.3
_0317_,6.28
_0112_,6.26
_0284_,6.26
_0318_,6.26
_0367_,6.26
_0416_,6.26
w_ptr_g_sync2\[2\],6.26
_0021_,6.225
_0104_,6.225
_0123_,6.225
r_data[1],6.21
_0295_,6.2
net138,6.18
_0174_,6.14
_0306_,6.14
_0358_,6.14
_0370_,6.14
net93,6.08
net108,6.08
_0153_,6.04
net157,6.04
_0250_,5.98
_0088_,5.965
w_ptr_g_sync1\[2\],5.96
_0116_,5.92
_0121_,5.905
wr,5.87
_0091_,5.865
_0341_,5.84
w_ptr_g_sync1\[3\],5.84
_0130_,5.8
_0353_,5.8
_0054_,5.765
r_data[0],5.75
_0325_,5.74
_0299_,5.72
_0328_,5.72
_0336_,5.72
_0363_,5.72
net73,5.72
net145,5.72
_0008_,5.68
_0190_,5.68
_0279_,5.68
net99,5.68
net165,5.68
net57,5.62
net83,5.62
_0076_,5.605
_0264_,5.6
_0065_,5.58
_0120_,5.58
_0444_,5.58
net82,5.58
net88,5.58
net124,5.58
_0075_,5.555
_0099_,5.5
w_ptr_g_sync1\[4\],5.5
_0108_,5.435
_0334_,5.4
_0209_,5.38
_0373_,5.38
_0383_,5.38
_0294_,5.34
_0390_,5.34
_0412_,5.34
_0092_,5.305
_0117_,5.305
_0340_,5.26
_0372_,5.26
_0399_,5.26
_0428_,5.26
mem\[5\]\[2\],5.26
net63,5.26
_0157_,5.22
_0287_,5.22
_0344_,5.22
_0360_,5.22
net38,5.22
net106,5.16
net123,5.16
net98,5.12
net101,5.12
net130,5.12
net146,5.12
_0039_,5.085
r_data[5],5.07
_0017_,5.045
_0024_,5.04
_0144_,4.985
w_data[4],4.95
_0398_,4.92
_0253_,4.88
r_data[2],4.85
_0043_,4.845
_0047_,4.845
_0055_,4.845
_0061_,4.845
_0095_,4.845
_0432_,4.82
_0425_,4.8
net84,4.8
net144,4.8
_0057_,4.785
net45,4.76
w_data[3],4.73
net32,4.72
_0006_,4.7
_0030_,4.7
net100,4.7
_0269_,4.68
mem\[1\]\[2\],4.68
_0431_,4.66
net43,4.66
net77,4.66
net80,4.66
net127,4.66
net155,4.66
net162,4.66
_0323_,4.6
net152,4.6
_0035_,4.585
_0058_,4.585
_0059_,4.585
_0080_,4.585
_0148_,4.585
_0152_,4.585
_0113_,4.54
_0137_,4.54
w_ptr_g_sync1\[1\],4.54
_0126_,4.46
_0235_,4.46
_0266_,4.46
_0151_,4.425
_0261_,4.42
full,4.39
_0028_,4.385
_0194_,4.36
_0330_,4.34
_0424_,4.34
net49,4.34
net52,4.34
net116,4.34
w_data[7],4.27
net71,4.24
net134,4.24
net142,4.24
_0134_,4.22
_0329_,4.2
net81,4.14
_0411_,4.1
r_ptr_g_sync1\[0\],4.02
_0237_,4
_0389_,4
_0419_,4
net159,3.98
_0296_,3.88
_0422_,3.88
_0094_,3.805
_0049_,3.78
net79,3.78
net102,3.78
net164,3.78
_0122_,3.76
_0426_,3.74
net107,3.74
net104,3.68
net167,3.68
_0115_,3.54
_0127_,3.54
_0136_,3.54
_0394_,3.54
_0436_,3.44
_0256_,3.42
_0319_,3.42
r_ptr_g_sync2\[0\],3.42
net53,3.42
net70,3.42
net90,3.42
net109,3.42
net156,3.42
_0038_,3.405
_0096_,3.405
_0107_,3.32
_0226_,3.32
net37,3.32
net42,3.32
net64,3.32
net153,3.32
net161,3.32
_0251_,3.3
net158,3.3
r_ptr_g_sync1\[4\],3.22
